variable,lag_days,feature_count,mean_absolute_correlation,mean_absolute_difference,max_absolute_correlation
soil_moisture,16,1,0.20959867706364516,0.030845922569816928,0.20959867706364516
soil_moisture,32,1,0.20560303602270588,0.03026606141969468,0.20560303602270588
soil_moisture,48,1,0.1891867592928981,0.0278549758739342,0.1891867592928981
soil_moisture,64,1,0.169079530221229,0.024907417455834233,0.169079530221229
vapour_pressure_deficit,32,1,0.16324051209995621,0.3043053731128539,0.16324051209995621
vapour_pressure_deficit,16,1,0.16252899310101063,0.30289726943201084,0.16252899310101063
vapour_pressure_deficit,48,1,0.154881629713596,0.28878008838322955,0.154881629713596
vapour_pressure_deficit,64,1,0.14369696969043275,0.2680652775215409,0.14369696969043275
2m_temperature,16,1,0.12321303353483015,0.8479361958257267,0.12321303353483015
2m_temperature,32,1,0.12040756440385064,0.8288528872313015,0.12040756440385064
2m_temperature,48,1,0.11281252368073671,0.7767238857695085,0.11281252368073671
surface_net_solar_radiation,32,1,0.10441542585898841,226401904.82074928,0.10441542585898841
2m_temperature,64,1,0.1028316943360769,0.7083729293937084,0.1028316943360769
surface_net_solar_radiation,48,1,0.10108409698749699,219221886.69081855,0.10108409698749699
total_precipitation,32,1,0.0996799780038993,0.15599873375607842,0.0996799780038993
surface_net_solar_radiation,16,1,0.098184112621225,212833248.08112577,0.098184112621225
surface_net_solar_radiation,64,1,0.09714793082565297,210794972.55508775,0.09714793082565297
total_precipitation,48,1,0.09585833095805542,0.15004746607309916,0.09585833095805542
total_precipitation,16,1,0.09159336104405884,0.14330454903472623,0.09159336104405884
total_precipitation,64,1,0.09002519481753544,0.14099005861881087,0.09002519481753544
