feature,shap_importance
soil_moisture_anomaly_lag_16d,0.518815
soil_moisture_anomaly_lag_32d,0.3697172
soil_moisture_anomaly_lag_64d,0.2785245
soil_moisture_anomaly_lag_48d,0.20906056
vapour_pressure_deficit_anomaly_lag_16d,0.15324637
vapour_pressure_deficit_anomaly_lag_64d,0.12124938
vapour_pressure_deficit_anomaly_lag_32d,0.09997044
vapour_pressure_deficit_anomaly_lag_48d,0.0998435
total_precipitation_anomaly_lag_64d,0.07989216
surface_net_solar_radiation_anomaly_lag_16d,0.057583813
2m_temperature_anomaly_lag_16d,0.054037694
surface_net_solar_radiation_anomaly_lag_64d,0.053544305
total_precipitation_anomaly_lag_32d,0.05229187
total_precipitation_anomaly_lag_16d,0.049961857
surface_net_solar_radiation_anomaly_lag_32d,0.04854348
surface_net_solar_radiation_anomaly_lag_48d,0.04472269
2m_temperature_anomaly_lag_64d,0.041363258
2m_temperature_anomaly_lag_48d,0.035369113
2m_temperature_anomaly_lag_32d,0.034836862
total_precipitation_anomaly_lag_48d,0.033237852
